ID	Source	Direction	Target	Status	Contributor	Shift Type	Language	Language ID	Lexeme	Source/Sense1	Target/Sense2	Reference	Comments	Contributor
2909	hen	→	vagina	New	DG	Polysemy	Slovenian	slov1268	kurica	 'female chick' 	'vagina' 	 	 ЭССЯ 13, 121-122.	 DG
2910	thin (of an object)	→	sparse	New	MB	Polysemy	Akkadian	akka1240	raḳḳu	 ''thin'' 	''thin (of hair)'' 	 	" CAD R 173-175 The meaning B is not very certain. According to CAD, it is to be translated as ""fine"", thus THIN (OF AN OBJECT)."	 MB
2911	to blow	→	to spread (intr.)	New	MB	Polysemy	Akkadian	akka1240	napāšu	 ''to breath freely'' 	''to expand, to become abundand'' 	 	 CAD NI 288-289	 MB
2912	weak	—	lazy	New	MB	Polysemy	Amharic	amha1245	sänäf	 'weak, feeble' 	'lazy, indolent' 	 	 (K 559).	 MB
2913	to weaken (intr.)	→	to get tired	New	MB	Polysemy	Geez	geez1241	dakma	 ''to become weak'' 	''to become weary, be tired, exhausted'' 	 	 LLA 1121-22.	 MB
2914	thin (of an object)	→	giraffe	New	MB	Derivation	Amharic	amha1245	ḳäč̣č̣ən	 '‘thin (person, voice, cloth), narrow (ribbon, road)’ (K 839)' → 		 	 K 839: cf. ğəratä ḳäč̣č̣ən 'giraffe', lit. 'thin-tailed' (ibid.)	 MB
2915	thin (of an object)	→	back (body part)	New	MB	Derivation	Tigre	tigr1270	ḳaṭin	 '‘thin, fine, slender’' → 		 	 LH 262	 MB
2916	worm	↔	snake	Accepted	MB	Polysemy	Sanskrit	sans1269	vihrut	 'worm' 	'a species of a snake' 	 	 Кочергина 614	 MR
2917	lion (Panthera leo)	—	snake	New	MB	Cognates	Akkadian	akka1240	nēšu	 ''lion' (CAD N2 193)'  → Ancient Hebrew 	'lion' (CAD N2 193)	 	 Cf. Akk. Nēšu ša ḳaḳḳari, an epithet of the serpent in the Gilgamesh Epic (XI 314), lit. 'lion of the earth'. See SED II No. 159	 MB
2918	lion (Panthera leo)	—	animal	New	MB	Cognates	Ancient Hebrew	anci1244	ʔaryẽ, ʔãrī	 'lion'  — Geez 	lion	 	 (HALOT 87: LGz. 40, LLA 743). See SED II No. 17. The Proto-Semitic term *ʔarway- is reconstructed with the meaning 'wild beast: lion'.	 MB
2919	weasel (Mustella nivalis)	—	mouse	New	MB	Cognates	Akkadian	akka1240	ayāṣu	 ''weasel' (CAD A1 231)'  — Tigrinya 	'weasel' (CAD A1 231)	 	 See SED II No. 26.	 MB
2920	mouse	—	jerboa	New	MB	Cognates	Akkadian	akka1240	akbaru (akkabaru)	 ''jerboa' (CAD A1 265)''  — Ancient Hebrew 	'jerboa' (CAD A1 265)'	 	 See SED II No. 30. The Proto-Semitic *ʕakbar- is reconstructed with the meaning 'mouse, jerboa'.	 MB
2921	<animal>	→	instrument, tool	New	MB	Polysemy	Akkadian	akka1240	imēru	 '''donkey''' 	''a mechanical device of a ship: a part of the battering ram''' 	 	 CAD I 110, 114-5. See SED II No. 98: also No. 37.	 MB
2922	lion (Panthera leo)	—	cat	New	MB	Cognates	Classical Arabic	stan1318	ʕurwat-	 ''lion' (BK II 238)'  — Mehri 	'lion' (BK II 238)	 	 See SED II, No. 41.	 MB
2923	bird	→	happiness, luck	New	MB	Cognates	Classical Arabic	stan1318	ṭayr-	 'bird (oiseau)' (BK II 129, Lane 1904, LA IV 508)'  → Wolane 	bird (oiseau)' (BK II 129, Lane 1904, LA IV 508)	 	 via the meaning 'to tell fortune (by observing the flight of birds)': see SED II No. 235. Both meanings are found also in some other Semitic cognates	 MB
2924	to run	→	to happen	New	MB	Polysemy	Classical Arabic	stan1318	ğarāˊ	 ''to run: to flow'' 	''to happen'' 	 	 Lane 415	 MB
2925	to run	→	servant	New	MB	Derivation	Classical Arabic	stan1318	ğarāˊ	 ''to run'' → 		 	 Lane 415-416	 MB
2926	girl	—	female servant, maid	Accepted	MB	Polysemy	Classical Arabic	stan1318	ğāriyat-	 'a girl, or young woman' 	'a female slave' 	 	 Lane 416. A derivative (active participle fem.) from ğarāˊ 'to run'.	 MB
2927	dog	→	shark	New	MB	Derivation	Modern Written Arabic	stan1318	kalb-	 ''dog'' → 		 	 Wehr 979: cf. also Classical Arabic kalb- 'a certain fish in the form of a dog' (Lane 2626)	 MB
2928	dog	→	beaver (Castor fiber)	New	MB	Derivation	Modern Written Arabic	stan1318	kalb-	 ''dog''' → 		 	 Wehr 979.	 MB
2929	dog	→	rabid	New	MB	Derivation	Classical Arabic	stan1318	kalb-	 ''dog'' → 		 	 Lane 2624: cf. also kalab- 'madness which affects a dog in consequence of eating human flesh: madness like that of dogs, which affecxts a man in consequence of his having been bitten by a mad dog: a disease that befalls a man from the bite of a mad dog,... so that whomsoever he bites, that person also becomes in like manner affected, abstaining from drinking water' (Lane 2626)	 MB
2930	to put	→	to deliver (a child)	New	MB	Polysemy	Fula	fula1264	jippina	 'to lower, to cast down' 	'to give birth' 	 	 ФРФС 270	 MR
2931	to beat, hit	↔	to copulate	Accepted	MB	Polysemy	Classical Arabic	stan1318	ḍaraba	 ''to beat (frapper, battre)'' 	''to cover a female (said of male) (couvrir la femelle (se dit d'un male)'' 	 	 BK 17	 MB
2932	wolf (Canis lupus)	→	hyena	New	MB	Cognates	Classical Arabic	stan1318	ḏiʔb-	 ''wolf: jackal (loup: chacal))' (BK I 760)'  → Geez 	'wolf: jackal (loup: chacal))' (BK I 760)	 	 from Proto-Semitic *ḏiʔb- 'wolf, jackal' (SED II, No. 72)	 MB
2933	wolf (Canis lupus)	—	jackal	New	MB	Polysemy	Classical Arabic	stan1318	ḏiʔb-	 ''wolf' (loup)' 	''jachal' (chacal)' 	 	 from Proto-Semitic *ḏiʔb- 'wolf: jackal' (SED II, No. 72)	 MB
2934	raven	—	crow	Accepted	MB	Syncretism	Adyghe	adyg1241	qʷeleẑ	 'raven' 	'crow' 	 	 АдРС 170	 MR
2935	sweet-smelling, fragrant	→	good	New	MB	Polysemy	Akkadian	akka1240	ṭābu	 '‘aromatic’' 	'‘good, sweet, fresh, of good quality’' 	 	 (CAD Ṭ 19). The basic meaning seems to be B, although the meaning A is well attested. In West Semitic, the meaning B is also the basic meaning, whereas the meaning A is rather marginal: cp. Arb. ṭāba ‘to be good, pleasant, delightful, delicious, sweet, savoury, in taste and in odour’ (Lane 1900).	 MB
2936	bad-smelling, stinking	—	to rot, purefy	New	MB	Polysemy	Geez	geez1241	ṣeʔa	 ''have a bad smell, stink’' 	''rot, putrefy'' 	 	 (LGz. 567, LLA 1309f.): both meanings in the cognates in Tna. (KT 2611), Tgr. (to spoil (v.i.): to stink): in the Gurage (LGur. 192) only the meaning A is quoted.	 MB
2937	sweet-smelling, fragrant	↔	tasty	Accepted	MB	Syncretism	Classical Arabic	stan1318	ṭāba	 '‘to be delicious, sweet, savoury, in taste and in odour’' 	'‘to be delicious, sweet, savoury, in taste and in odour’' 	 	 (Lane 1900). The main meaning in Arabic is 'to be good', the proto-Semitic root probably having both the meaning 'fragrant' and 'good'. Cp. Accadian ṭābu ‘good, aromatic, of good quality’ (CAD Ṭ 19)	 MB
2938	hand/arm	—	to help, aid	New	MB	Derivation	Classical Arabic	stan1318	sāʕid-	 'fore arm' → 		 	 (Lane 1362, 1360).	 MB
2939	hand/arm	→	chief (n.)	New	MB	Polysemy	Classical Arabic	stan1318	sāʕid-	 ''fore arm'' 	''a chief, upon whom people rely'' 	 	 Lane 1362	 MB
2940	little, small	→	contemptible	New	MB	Polysemy	Classical Arabic	stan1318	ṣaġīr-	 'small, little' 	'small, little in rank or dignity' 	 	 Lane 1692.	 MB
2941	big	→	of high rank	New	MB	Polysemy	Classical Arabic	stan1318	kabīr-	 ''big'' 	''great in dignity and nobility'' 	 	 Lane 2586	 MB
2942	empty	→	to give up, stop doing	New	MB	Polysemy	Classical Arabic	stan1318	faraġa	 ''to be empty, vacant'' 	''to cease, end, finish'' 	 	 Lane 2381	 MB
2943	ill, sick, not well	→	wrong	New	MB	Polysemy	Classical Arabic	stan1318	saḳīm-	 ''diseased, disordered, sick'' 	''unsound, faulty'' 	 	 Lane 1384	 MB
2944	white	→	pure	Accepted	All	Polysemy	Karaim	kara1464	ак	 'white' 	'pure' 	 	 	 IG
2945	pure	→	honest	New	All	Polysemy	Mandarin Chinese	mand1415	chún	 'pure' 	'honest, sincere' 	 	 БКРС 12429	 MR
2946	to go out	→	to fall (of rain, snow)	New	All	Polysemy	Komi	komi1267	петны	 'to go out' 	'to fall (rain, snow)' 	 	 КомиРС 494-495	 MR
2947	to enter	→	to fall (of rain, snow)	New	All	Polysemy	Mongolian (Khalkha)	halh1238	oro-	 'to enter' 	'to fall (snow, rain)' 	 	 	 All
2948	sharp	→	passionate	New	All	Polysemy	Sanskrit	sans1269	tivrá	 'sharp' 	'fervent' 	 	 Кочергина 244	 MR
2949	mouth	—	cape	New	DG	Cognates	Russian	russ1263	rot	 'mouth'  — Serbo-Croatian 	mouth	 	 	 DG
2950	mouth	—	hill	New	DG	Cognates	Russian	russ1263	rot	 'mouth'  — Bulgarian 	mouth	 	 	 DG
2951	lip	→	hill	New	DG	Cognates	Aghul	aghu1253	k'ent'ʷ	 'lip'  → Aghul 	lip	 	 It means 'lip' in the Koshan dialect, 'hill, stack' in other dialects. The meaning 'lip' is primary, which is seen in the meaning of a cognate in Dargwa.	 DG
2952	to put	→	to bake	New	DG	Polysemy	Udi	udii1243	bades	 'to put inside' 	'to bake' 	 	 Originally the verb 'put inside', contains the prefix ba- 'inside' (Gukasjan 1974: 71: Майсак 2008)	 DG
2953	heat	—	sweat	New	DG	Polysemy	Geez	geez1241	haf	 'heat' 	'sweat' 	 	 (LGz. 215, LLA 21).	 MB
2954	sweat	→	blood	New	DG	Polysemy	German	stan1295	Schweiß	 'sweat, perspiration' 	'blood (hunt., game, dog)' 	 	 	 DG
2955	sweat	→	forehead	New	DG	Polysemy	Godoberi	ghod1238	hanla	 'sweat, perspiration' 	'forehead' 	 	 In Old Andi languages the word means onle 'sweat'.	 DG
2957	expensive	—	greedy	New	DG	Cognates	Serbo-Croatian	out1528 	skup	 'expensive, precious'  — Russian 	expensive, precious	 	 	 DG
2958	strength	—	clean (adj.)	New	DG	Polysemy	Serbo-Croatian	out1528 	snaga	 'force' 	'purity (reg.)' 	 	 Толстой 557, см. также РСКJ 5: 902	 DG
2959	strength	—	body	New	DG	Polysemy	Serbo-Croatian	out1528 	snaga	 'force' 	'body (reg.)' 	 	 Толстой 557, см. также РСКJ 5: 902	 DG
2960	to beat, hit	→	to castrate, geld	New	DG	Polysemy	Serbo-Croatian	out1528 	tući	 'to beat, to hit, to cruch, o grind' 	'to castrate' 	 	 	 DG
2961	bow-string	—	tendon	New	DG	Polysemy	Turkish	nucl1301	kiriş	 'bow string' 	'tendon' 	 	 	 DG
2962	pumpkin	→	diamonds (in cards)	New	DG	Polysemy	Serbo-Croatian	out1528 	tikva	 'pumpkin' 	'diamonds (cards)' 	 	 	 DG
2963	to extinguish	→	dark (adj.)	New	DG	Derivation	Serbo-Croatian	out1528 	ugasiti	 'to extinguish' → 		 	 	 DG
2964	dense, thick (liquid)	—	dark (adj.)	New	DG	Polysemy	Ancient Greek	anci1242	βαθύς	 'thick (substance)' 	'dark' 	 	 Liddell-Scott 301-302	 DG
2965	deep	→	dark (adj.)	New	DG	Polysemy	Ancient Greek	anci1242	βαθύς	 'deep' 	'dark (colour)' 	 	 Liddell-Scott 301-302	 DG
2966	rope, string, cord, lashing	—	knot	New	DG	Polysemy	Serbo-Croatian	out1528 	uz	 'rope' 	'knot' 	 	 	 DG
2967	knot	—	log	New	DG	Polysemy	Karata	kara1474	k'aru	 'knot' 	'log' 	 	 КРС 196-197	 DG
2968	egg	—	clew	New	DG	Polysemy	Karata	kara1474	k'ark'an	 'egg' 	'ball (wool)' 	 	 КРС 196	 DG
2969	quick	—	cunning, sly	New	DG	Cognates	Serbo-Croatian	out1528 	hitar	 'quick, agile'  — Russian 	quick, agile	 	 It is related to the root *xytiti, *xvatati and apparently can be traced back to it semantically.	 DG
2970	intact	→	pure	New	DG	Polysemy	Serbo-Croatian	out1528 	ceo	 'whole, integer' 	'pure' 	 	 	 DG
2971	thorn	→	dog-rose	New	DG	Derivation	Russian	russ1263	šip	 'thorn' → 		 	 	 DG
2972	melancholy, depression	→	to feel sick	New	DG	Derivation	Russian	russ1263	toska	 'melancholy' → 		 	 Фасмер 4, 90	 DG
2973	mouse	→	birthmark	New	DG	Polysemy	Polish	poli1260	myszka	 'mouse' 	'birthmark' 	 	 	 DG
2974	to speak	—	to tell a person's fortune	New	DG	Cognates	Polish	poli1260	gadać	 'to chat, to say, to interpret'  — Russian 	to chat, to say, to interpret	 	 Both meanings are widely spread in Slavic languages, see ЭССЯ 6: 77-78.	 DG
2975	to pour	→	faeces	New	DG	Cognates	Russian	russ1263	lit'	 'to pour'  → Serbo-Croatian 	to pour	 	 	 DG
2976	to pour	→	rain	New	DG	Derivation	Russian	russ1263	lit'	 'to pour' → 		 	 	 DG
2977	poppy (Papaver somniferum)	→	top	New	DG	Derivation	Russian	russ1263	mak	 'poppy' → 		 	 Cf. also маковка. See ЭССЯ 17: 148	 DG
2978	poppy (Papaver somniferum)	—	red	New	DG	Polysemy	English	stan1293	poppy	 'poppy' 	'red' 	 	 	 DG
2979	little, small	→	girl	New	DG	Derivation	Old East Slavic	oldr1238	малыи	 'small' → 		 	 Срезневский 2: 106, 102	 DG
2980	little, small	→	devil, satan	New	DG	Derivation	Serbo-Croatian	out1528 	mali	 'small' → 		 	 ЭССЯ 17: 157: РСКJ 3: 273. Euphemism according to Trubachev.	 DG
2981	little, small	→	little finger	New	DG	Derivation	Serbo-Croatian	out1528 	mali	 'small' → 		 	 	 DG
2983	raspberry	→		 New	DG	Cognates	Russian	russ1263	malina	 'raspberry'  — Russian 	raspberry	 	 in Russian dialects, see СРНГ 17: 327	 DG
2984	little, small	→	boy	New	DG	Derivation	Old East Slavic	oldr1238	малыи	 'small' → 		 	 	 DG
2985	oil (food)	→	 	New	DG	Derivation	Russian	russ1263	maslo	 'oil' → 		 	" ""The motivation for this mushroom name, Boletus luteus L., is not quite clear. Machek is inclined to see two possibilities: the mushroom got this name because the lower part of its cap is yellow, and also because in former times these mushrooms were used for oiling wheels. Supposedly the mushroom could get this name due to its cap which is covered with a sticky film, as if it were covered with oil"" [ЭССЯ 17: 221-222]"	 DG
2986	to smear, anoint	→	oil (food)	New	DG	Cognates	Russian	russ1263	mazat'	 'to spread'  → Russian 	to spread	 	 see ЭССЯ 17: 230-232	 DG
2987	mother	→	continent	New	DG	Derivation	Russian	russ1263	mat'	 'mother' → 		 	 	 DG
2988	owner	→	woman	New	DG	Semantic evolution	Latin	lati1261	dominus	 'the master of a household, estate, or other property, owner, proprietor' 	Italian 	 	 Glare 571: Prati 380	 DG
2989	owner	→	wife	New	DG	Polysemy	Norwegian	norw1258	hustru	 'mistress' 	'wife' 	 	 	 DG
2990	numerous	→	long (size)	New	DG	Semantic evolution	Latin	lati1261	largus	 '1) Munificent, generous, bountiful, lavish: 2) Furnished liberally, plentiful, bounteous, unstinted, copious' 	Spanish 	 	 Glare 1003: Meyer-Lübke 354	 DG
2991	numerous	→	wide, broad	New	DG	Semantic evolution	Latin	lati1261	largus	 '1) Munificent, generous, bountiful, lavish: 2) Furnished liberally, plentiful, bounteous, unstinted, copious' 	Italian 	 	 Glare 1003: Meyer-Lübke 354	 DG
2992	slow (adj.)	—	dense, thick (liquid)	New	DG	Polysemy	Latin	lati1261	spissus	 '(of progress, etc.) Laborious, sluggish, slow' 	'(of substances) dense, solid, compact, (of liquids) thick, viscous' 	 	 Glare 1807	 DG
2993	little, small	→	stupid	New	DG	Polysemy	Portuguese	port1283	parvo	 'small, unimportant, insignificant,' 	'stupid, dim' 	 	 The meaning 'small' is primary because the word goes back to the Lat. parvulus 'small in size, little, tiny' (Meyer-Lübke 464, Glare 1304)	 DG
2994	tree	→	beam	New	DG	Semantic evolution	Old English	stan1293	beám	 'a tree' 	English 	 	 OED, Bosworth and Toller 71	 DG
2995	stick (n.)	→	trunk (of a tree)	New	DG	Semantic evolution	Latin	lati1261	fustis	 'a stick, rod' 	French 	 	 Glare 751, Le Robert Micro 573	 DG
2996	work (n.)	→	grain, seed	New	DG	Semantic evolution	Latin	lati1261	labor	 'work, labour, toil' 	Catalan 	 	 Glare 990, Meyer-Lübke 346	 DG
2997	throat	→	mouth	New	DG	Semantic evolution	Latin	lati1261	gula	 'the throat with its passages' 	Romanian 	 	 Glare 778: Meyer-Lübke 291	 DG
2998	handle, gripe	→	wing	New	DG	Semantic evolution	Portuguese	port1283	asa	 'handle' 	Portuguese 	 	 The meaning 'handle' is primary, because the Latin ansa meant only this(cf. Glare 137)	 DG
2999	stinger (of an insect)	—	penis	New	DG	Polysemy	Khumi	khum1248	jaang	 'stinger (of a bee)' 	'penis' 	 	 Matisoff 2008: 188	 DG
3000	penis	—	vagina	New	DG	Cognates	Bokar	damu1236	mok	 'penis'  — Mikir 	penis	 	 Matisoff 2008: 196	 DG
3001	mouth	—	vagina	New	DG	Cognates	Sulung	sulu1241	ɕək³³	 'mouth'  — Burmese 	mouth	 	 Matisoff 2008: 133-134	 DG
3002	nest (n.)	—	womb	Accepted	DG	Cognates	Idu	idum1241	su⁵⁵	 'nest'  — Zotung 	nest	 	 Matisoff 2008: 170	 DG
3003	mouth	—	womb	New	DG	Polysemy	Burmese	nucl1310	hnut	 'mouth' 	'womb' 	 	 Matissof 2008: 175	 DG
3004	house	—	womb	New	DG	Polysemy	Mikir	karb1241	hem	 'house' 	'womb' 	 	 Matisoff 2008: 176	 DG
3005	nose	→	penis	New	DG	Polysemy	Romani	oma1329 	nakh	 'nose, beak' 	'penis' 	 	 Macedonian Džambazi Romani, Gurbet Romani	 DG
3006	broom	—	penis	New	DG	Polysemy	Romani	oma1329 	šilado	 'broom' 	'penis' 	 	 Lovara Romani	 DG
3007	mud	→	penis	New	DG	Polysemy	Romani	oma1329 	mel	 'dirt, filth' 	'penis' 	 	 Macedonian Džambazi Romani, Gurbet Romani	 DG
3008	vagina	→	womb	New	DG	Polysemy	Classical Arabic	stan1318	raḥim-	 'vulva' 	'womb' 	 	 (Lane 1056), from Proto-Semitic *raḥ(i)m-, *riḥm- 'womb', cf. SED I No. 231).	 MB
3009	vagina	→	girl	New	DG	Polysemy	Romani	oma1329 	mindž	 'vagina, female sexual organ' 	'gir(-friend) (vulg.)' 	 	 Macedonian Džambazi Romani, Gurbet Romani	 DG
3010	snake	→	penis	New	DG	Borrowing	Yiddish	yidd1255	shlang	 'snake' 	English 	 	 OED	 DG
3011	nest (n.)	—	cradle	New	DG	Cognates	Khaling	khal1275	yāng	 'nest'  — Tamang 	nest	 	 Matisoff 2008: 173	 DG
3012	to kiss	—	to suck	New	DG	Cognates	Nocte	noct1238	tum	 'kiss'  — Tangsa 	kiss	 	 Matisoff 2008: 124	 DG
3013	to take	—	to drink	New	DG	Polysemy	Portuguese	port1283	tomar	 'to take, to get, to captivate' 	'to drink' 	 	 	 DG
3014	to chew	—	to eat	New	DG	Polysemy	Latin	lati1261	manduco	 'to chew, masticate' 	'to eat' 	 	 Glare 1072	 DG
3015	to taste	—	to know	New	DG	Polysemy	Latin	lati1261	sapio	 'to taste' 	'to be intelligent, show good sense, to know, understand' 	 	 Glare 1690	 DG
3016	egg	—	berry	New	DG	Polysemy	Bagvalal	bagv1239	č'ač'an	 'egg' 	'(pl.) berry' 	 	 БРС 397	 DG
3018	wing	—	armpit	New	DG	Polysemy	Romani	oma1329 	phak	 'wing' 	'armpit' 	 	 Lithuanian Romani	 DG
3019	knee	—	foot/leg	New	DG	Polysemy	Romani	oma1329 	čang	 'knee' 	'leg' 	 	 Hungarian Vend Romani	 DG
3020	knee	—	elbow	New	DG	Polysemy	Romani	oma1329 	koč	 'knee' 	'elbow' 	 	 Macedonian Arli Romani	 DG
3021	apple	→	knee	New	DG	Polysemy	Romani	oma1329 	phába	 'apple' 	'knee' 	 	 Veršend Romani	 DG
3022	apple	—	cheek	New	DG	Polysemy	Romani	oma1329 	phamb	 'apple' 	'cheek' 	 	 	 DG
3023	knee	—	ankle	New	DG	Cognates	Romani	oma1329 	koč	 'knee'  — Romani 	knee	 	 Source meaning in Ursari Romani	 DG
3024	mud	→	sweat	New	DG	Polysemy	Romani	oma1329 	mel	 'dust, smut' 	'sweat' 	 	 Welsh Romani	 DG
3025	tail	→	plait, braid	New	DG	Polysemy	Romani	oma1329 	pouri	 'tail' 	'plait, braid' 	 	 Prekmurski Romani	 DG
3026	tail	→	navel	New	DG	Polysemy	Romani	oma1329 	pori	 'tail' 	'navel' 	 	 Sepečides Romani	 DG
3027	ear	→	handle, gripe	New	DG	Polysemy	Romani	oma1329 	kan	 'ear' 	'handle' 	 	 Burgenland Romani	 DG
3028	ear	—	awl	New	DG	Polysemy	Romani	oma1329 	džaar	 'hair' 	'awl' 	 	 Finnish Romani	 DG
3029	beard	→	moustache	New	DG	Polysemy	Romani	oma1329 	šar	 'beard' 	'moustache' 	 	 Lovara Romani	 DG
3030	beard	→	plait, braid	New	DG	Polysemy	Romani	oma1329 	čhor	 'beard' 	'plait' 	 	 Sremski Gurbet Romani	 DG
3031	country, land	—	world	New	DG	Polysemy	Romani	oma1329 	them	 'land, country' 	'world' 	 	 Dolenjski Romani	 DG
3032	world	—	sky	New	DG	Polysemy	Romani	oma1329 	them	 'world' 	'sky, heaven' 	 	 Hungarian Vend Romani	 DG
3033	blind	→	dumb	New	DG	Polysemy	Romani	oma1329 	koro	 'blind' 	'dumb' 	 	 Prekmurski Romani	 DG
3034	wolf (Canis lupus)	→	hare (Lepus)	New	DG	Derivation	Romani	oma1329 	ruv	 'wolf' → 		 	 Macedonian Džambazi Romani	 DG
3035	feather	→	moss	New	DG	Polysemy	Romani	oma1329 	poř	 'feather' 	'moss' 	 	 Welsh Romani	 DG
3036	snake	→	otter (Lutra lutra)	New	DG	Polysemy	Romani	oma1329 	sap	 'snake' 	'otter' 	 	 Kalderaš Romani	 DG
3037	worm	→	ant	New	DG	Polysemy	Romani	oma1329 	čirmo	 'worm' 	'ant' 	 	 Dolenjski Romani	 DG
3038	monkey	↔	bear (Ursus)	New	DG	Borrowing	Turkish	nucl1301	majmun	 'monkey' 	Romani 	 	 Sepečides Romani	 DG
3039	bear (Ursus)	→	hedgehog (Еrinaceus)	New	DG	Polysemy	Romani	oma1329 	ričh	 'bear' 	'hedgehog' 	 	 East Slovak Romani	 DG
3040	mouse	—	wolf (Canis lupus)	New	DG	Polysemy	Romani	oma1329 	khandoj	 'mouse, rat' 	'wolf' 	 	 Related to common Romani khand 'smell, stench'???	 DG
3041	country, land	→	village	New	DG	Semantic evolution	Old Udi	aghw1237	ajz	 'world, region, (inhabited) lands' 	Udi 	 	 Palimpsest IV-4	 DG
3042	to kill	→	to extinguish	New	DG	Polysemy	Romani	oma1329 	mudarel	 'kill' 	'put out (a fire, a cigarette)' 	 	 Sofia Erli Romani	 DG
3043	dark (adj.)	→	fearful, dreadful	New	DG	Derivation	Latin	lati1261	ater	 'black, dark-coloured' → 		 	 Glare 195, 199	 DG
3044	to burn (intr.)	—	black	New	DG	Cognates	Dutch	dutc1256	blaken	 'to burn'  — English 	to burn	 	 www.etymonline.com	 DG
3045	cloud	—	sky	New	DG	Cognates	German	stan1295	Wolke	 'cloud'  — English 	cloud	 	 OED	 DG
3046	smooth	—	glad	New	DG	Cognates	German	stan1295	glatt	 'smooth'  — English 	smooth	 	 	 DG
3047	green	→	fresh	New	DG	Polysemy	German	stan1295	grün	 'green' 	'fresh' 	 	 	 DG
3048	rotten	→	lazy	New	DG	Polysemy	German	stan1295	faul	 'rotten' 	'lazy' 	 	 	 DG
3049	rotten	→	unpleasant	New	DG	Cognates	German	stan1295	faul	 'rotten'  — English 	rotten	 	 OED	 DG
3050	blunt	—	slow (adj.)	New	DG	Cognates	Norwegian	norw1258	sløv	 'blunt (of knife etc.)'  — English 	blunt (of knife etc.)	 	 OED	 DG
3051	stupid	—	rabid	New	DG	Cognates	English	stan1293	dull	 'not quick in intelligence or mental perception, slow of understanding, not sharp of wit, obtuse, stupid, inapprehensive'  — German 	not quick in intelligence or mental perception, slow of understanding, not sharp of wit, obtuse, stupid, inapprehensive	 	 OED	 DG
3052	to grow numb	→	stupid	New	DG	Derivation	Latin	lati1261	stupeo	 'to be or become physically powerless, numb, paralysed, or sim.: be deprived of one's faculties' → 		 	 Glare 1831-1832	 DG
3053	deaf	→	to grow numb	New	DG	Polysemy	German	stan1295	taub	 'deaf' 	'numb, unfeeling' 	 	 	 DG
3055	slow (adj.)	—	lazy	New	DG	Polysemy	Old Norse	oldn1244	latr	 'slow' 	'lazy' 	 	 Cleasby and Vigfusson 374	 DG
3056	slow (adj.)	—	late	New	DG	Polysemy	Danish	dani1285	sen	 'slow, sluggish' 	'slow, climsy' 	 	 	 DG
3057	moist, humid	—	soft (adj.)	New	DG	Polysemy	Norwegian	norw1258	bløt	 'wet, damp' 	'soft' 	 	 Аракин 2000(1): 120	 DG
3058	to be glad	—	to forget	New	DG	Polysemy	Old Norse	oldn1244	gleyma	 'to make a merry noise, to be merry' 	'to forget' 	 	 Cleasby and Vigfusson 204	 DG
3059	to let	—	to praise	New	DG	Polysemy	Old Norse	oldn1244	leyfa	 'to permit, allow' 	'to praise' 	 	 Cleasy and Vigfusson 386	 DG
3060	to mill	→	to purr	New	DG	Polysemy	Old Norse	oldn1244	mala	 'to grind' 	'to purr (of a cat)' 	 	 Cleasby and Vigfusson 409-410	 DG
3061	to separate	—	to understand	New	DG	Polysemy	Old Norse	oldn1244	skilja	 'to part, separate, divide' 	'to distinguish, discern, understand' 	 	 Cleasby and Vigfusson 546	 DG
3062	to blink (by eyes)	—	to tremble	New	DG	Polysemy	Old Norse	oldn1244	titra	 'to twinkle' 	'to shake, shiver' 	 	 Cleasby and Vigfusson 633	 DG
3063	to pour	→	to vomit	New	DG	Semantic evolution	Old Norse	oldn1244	æla	 'to pour, to flow quickly' 	Icelandic 	 	 	 DG
3064	to kiss	→	to copulate	New	DG	Semantic evolution	Latin	lati1261	basio	 'to kiss' 	French 	 	 	 DG
3065	to marry	→	to copulate	New	DG	Semantic evolution	Ancient Greek	anci1242	γαμέω	 'marry, i.e. take to wife, of the man' 	Modern Greek 	 	 LSJ ON-line	 DG
3066	difficult	→	pregnant	New	DG	Semantic evolution	Serbo-Croatian	out1528 	trudan	 'difficult, tired' 	Serbo-Croatian 	 	 Or 'tired' --> 'pregnant'?	 DG
3067	to bend	→	to present, gift	New	DG	Polysemy	Serbo-Croatian	out1528 	pokloniti se	 'to bow, to bend (intr.)' 	'to present, gift' 	 	 Tols	 DG
3068	red	→	naked, bare	New	MR	Polysemy	Mandarin Chinese	mand1415	chì	 'red' 	'naked' 	 	" From 'flesh colour' via 'nude (person)' to the use in contexts like ""Деревья стоят голые"" 'The trees are bare'. БКРС 14480"	 MR
3069	poet	—	mad	New	MR	Polysemy	Mandarin Chinese	mand1415	fēng rēn	 'poet' 	'mad' 	 	" ""wind"" + ""person"""	 MR
3070	dragonfly	—	<orthopteran>	Accepted	MR	Cognates	Russian	russ1263	kobylka	 'dragonfly'  — Russian 	dragonfly	 	 1 - Sib.	 MR
3071	<orthopteran>	→	<bird>	Accepted	MR	Cognates	Russian	russ1263	kuznečik	 'grasshopper'  — Russian 	grasshopper	 	 In idioms it is used for different birds - robin, titmouse, chiffchaff, wagtail. СРНГ 16, 25	 MR
3072	<animal>	→	mole cricket (Gryllotalpa)	Accepted	MR	Derivation	Ukrainian	ukra1253	vovk	 'wolf' → 		 	 Кривощапова 2007, 183, Гура 1997, 521	 MR
